name,description,original_nodes,original_edges,generated,structure_score,connections_score,completeness_score,correctness_score,overall_score,notes
Basic Prompt Chaining,"Connect multiple prompts in sequence where each output becomes the next stage's input, enabling step-by-step text processing.",8,7,True,10.0,1.4,10.0,10.0,7.4,Perfect match
Basic Prompting,Perform basic prompting with an OpenAI model.,4,3,True,10.0,3.3,10.0,10.0,8.0,Perfect match
Blog Writer,Auto-generate a customized blog post from instructions and referenced articles.,6,5,True,10.0,8.0,10.0,10.0,9.4,Perfect match
Custom Component Generator,Generates well-structured code for custom components following Langflow's specifications.,8,7,True,4.5,2.9,8.6,10.0,5.9,Missing: URL; Extra: URLComponent
Document Q&A,"Integrates PDF reading with a language model to answer document-specific questions. Ideal for small-scale texts, it facilitates direct queries with immediate insights.",5,4,True,10.0,2.5,10.0,10.0,7.8,Perfect match
Financial Report Parser,"Extracts key financial metrics like Gross Profit, EBITDA, and Net Income from financial reports and structures them for easy analysis, using Structured Output Component",4,3,True,10.0,6.7,10.0,10.0,9.0,Perfect match
Hybrid Search RAG,Explore Hybrid Search with a vector database.,6,6,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Image Sentiment Analysis,"Analyzes images and categorizes them as positive, negative, or neutral using zero-shot learning.",6,5,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Instagram Copywriter,"Create engaging Instagram posts with AI-generated content and image prompts, streamlining social media content creation.",10,10,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Invoice Summarizer,Your AI Agent Accountant - Leverage Needle with Langflows Agent.,5,4,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Knowledge Ingestion,An example of creating a Knowledge Base and ingesting data into it from a web URL.,3,2,True,10.0,10.0,10.0,6.0,9.2,Perfect match
Knowledge Retrieval,An example of performing a vector search against data in a Knowledge Base to retrieve relevant documents.,3,2,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Market Research,"Researches companies, extracts key business data, and presents structured information for efficient analysis. ",6,5,True,10.0,8.0,10.0,10.0,9.4,Perfect match
Meeting Summary,An AI-powered meeting summary generator that transcribes and summarizes meetings using  AssemblyAI and OpenAI for quick insights.,12,10,True,8.5,6.0,8.9,10.0,8.1,Missing: parser; Extra: ParserComponent
Memory Chatbot,"Create a chatbot that saves and references previous messages, enabling the model to maintain context throughout the conversation.",5,4,True,10.0,2.5,10.0,10.0,7.8,Perfect match
News Aggregator,Extracts data and information from webpages.,5,4,True,6.7,5.0,8.3,10.0,7.2,Missing: AgentQL; Extra: AgentQLQueryData
NVIDIA RTX Remix,Agent to integrate the NVIDIA RTX Remix Toolkit REST API and RTX Remix Documentation,8,7,True,10.0,5.7,10.0,10.0,8.7,Perfect match
Pokédex Agent,Research Pokémon with a specialized Agent and the Pokédex API.,4,3,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Portfolio Website Code Generator,"This template transforms PDF or TXT resume documents into structured JSON, generating a portfolio website HTML code from the structured data.",6,5,True,7.1,4.0,8.6,10.0,7.1,Missing: parser; Extra: ParserComponent
Price Deal Finder,Searches and compares product prices across multiple e-commerce platforms. ,5,4,True,6.7,7.5,8.3,10.0,7.9,Missing: AgentQL; Extra: AgentQLQueryData
Research Agent,"Agent that generates focused plans, conducts web searches, and synthesizes findings into comprehensive reports.",10,10,True,10.0,5.0,10.0,10.0,8.5,Perfect match
Research Translation Loop,This template iterates over search results using LoopComponent and translates each result into Portuguese automatically. 🚀,6,6,True,10.0,5.0,10.0,10.0,8.5,Perfect match
SEO Keyword Generator,"Generates targeted SEO keywords based on product information, pain points, and customer profiles for strategic marketing.",4,3,True,10.0,10.0,10.0,8.0,9.6,Perfect match
SaaS Pricing,"Calculate SaaS subscription price based on costs, profit margin, and subscribers using step-by-step method and Chain-of-Thought prompting. ",4,3,True,10.0,6.7,10.0,8.0,8.6,Perfect match
Search agent,Search the web for information.,4,3,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Sequential Tasks Agents,"This Agent is designed to systematically execute a series of tasks following a meticulously predefined sequence. By adhering to this structured order, the Agent ensures that each task is completed efficiently and effectively, optimizing overall performance and maintaining a high level of accuracy.",11,11,True,8.3,7.3,8.8,10.0,8.4,Missing: YfinanceComponent; Extra: YahooFinance
Simple Agent,A simple but powerful starter agent.,5,4,True,10.0,10.0,10.0,10.0,10.0,Perfect match
Social Media Agent,Utilize Apify Actors as agent tools to search and analyze social media profiles.,5,4,True,10.0,5.0,10.0,10.0,8.5,Perfect match
Text Sentiment Analysis,"Load text data from various file formats, process it into structured messages, and analyze sentiment using AI-powered classification.",9,8,True,10.0,6.2,10.0,8.0,8.5,Perfect match
Travel Planning Agents,Create a travel planning chatbot that uses specialized agents to craft personalized trip itineraries.,8,7,True,6.0,5.7,7.5,10.0,7.0,"Missing: URL, SearchComponent; Extra: URLComponent, TavilySearchComponent"
Twitter Thread Generator,"Transform structured inputs into engaging Twitter threads with this prompt-based flow, maintaining brand voice and technical accuracy.",10,9,True,10.0,1.1,10.0,10.0,7.3,Perfect match
Vector Store RAG,Load your data for chat context with Retrieval Augmented Generation.,11,10,True,5.7,7.0,8.2,10.0,7.5,"Missing: OpenAIEmbeddings, parser; Extra: ParserComponent, EmbeddingModel"
YouTube Analysis,"The YouTube Analysis flow extracts video comments and transcripts, analyzing sentiment patterns and content themes.",8,7,True,7.8,3.8,8.9,9.2,7.1,Missing: parser; Extra: ParserComponent; Edge count diff: 1
