Domain Area	Agent Name	Description	Applicable to Payers	Applicable to Payviders	Applicable to Providers	Connectors	Goals	KPIs	Tools
Patient Experience	Appointment Concierge Agent	Automates appointment scheduling using EHR calendars, insurance eligibility, and preferred location. Sends reminders and follow-ups across SMS and email.	Y		Y	EHR system API for accessing calendars, Insurance provider APIs for checking eligibility, SMS gateway for sending text messages, Email service provider for sending emails	Automate appointment scheduling process, Ensure insurance eligibility before scheduling, Consider patient's preferred location for appointments, Send timely reminders and follow-ups via SMS and email, Improve patient satisfaction through efficient scheduling, Reduce no-show rates	Number of appointments scheduled automatically, Percentage of appointments scheduled in preferred locations, Percentage of appointments scheduled with insurance eligibility confirmed, Number of reminders and follow-ups sent, Patient satisfaction rate, No-show rate	AI and Machine Learning tools for automation and decision making, Database management tools for storing and retrieving patient data, Data analytics tools for tracking and improving KPIs, Communication tools for sending SMS and emails
Patient Experience	Post-Visit Q&A Agent	Uses discharge summaries, physician notes, and medication records to answer patient questions after a visit, supporting better adherence and satisfaction.	Y		Y	Electronic Health Record (EHR) systems, Customer Relationship Management (CRM) systems, Secure patient messaging platforms, Pharmacy management systems	Provide accurate and timely responses to patient queries, Improve patient adherence to treatment plans, Increase patient satisfaction, Reduce the number of follow-up calls and emails to healthcare providers	Accuracy of responses, Response time, Patient satisfaction score, Reduction in follow-up calls and emails, Increase in treatment adherence rates	Natural Language Processing (NLP) tools, Machine Learning algorithms, Data analytics software, Secure communication platforms, Healthcare-specific APIs
Patient Experience	Virtual Health Navigator Agent	Uses symptom checkers, claims history, and plan rules to guide patients to correct care setting or provider using interactive chatbot interface.	Y		Y	Symptom checker API, Healthcare claims database, Healthcare plan rules database, Patient feedback system, Hospital and clinic databases	Guide patients to the correct care setting or provider based on their symptoms and claims history, Provide accurate and timely information to patients, Improve patient satisfaction with healthcare navigation, Reduce unnecessary hospital visits and costs, Increase efficiency in healthcare delivery	Accuracy of care setting or provider recommendations, Patient satisfaction rate, Reduction in unnecessary hospital visits, Time taken to guide a patient to a care setting or provider, Number of patients successfully navigated to correct care setting or provider	Interactive chatbot interface, Machine learning algorithms for symptom analysis and recommendation, Data analytics tools for analyzing claims history, Customer relationship management (CRM) system for tracking patient interactions, Feedback collection and analysis tools
Patient Experience	Insurance Benefits Explainer Agent	Reads benefits summaries, EOBs, and plan documents to explain deductibles, coinsurance, and covered services to members via chatbot or portal.	Y		N	APIs to access insurance plan details and member information, Webhooks to send notifications or updates, Email connectors for sending detailed responses or follow-ups, SMS connectors for quick responses or updates	Provide clear and accurate explanations of insurance benefits to members, Reduce the number of queries to human customer service representatives, Increase member understanding and satisfaction with their insurance plans, Ensure compliance with all relevant regulations and standards	Accuracy of information provided, Number of queries successfully resolved without human intervention, Member satisfaction scores, Compliance rate with regulations and standards, Average response time	Natural Language Processing (NLP) for understanding and responding to queries, Machine Learning algorithms for improving accuracy and response time, Data encryption and security tools for protecting member information, Compliance monitoring tools to ensure adherence to regulations and standards
Patient Experience	Patient Feedback Analyzer Agent	Analyzes call center logs, survey responses, and complaints to extract themes and sentiment. Helps improve member experience metrics.	Y		Y	Call center software API for accessing call logs, Survey platform API for accessing survey responses, Customer Relationship Management (CRM) system for accessing complaints	Analyze and categorize patient feedback from various sources, Identify common themes and sentiments from patient feedback, Provide actionable insights to improve member experience, Track and monitor changes in patient sentiment over time	Number of feedback analyzed, Accuracy of sentiment analysis, Number of actionable insights provided, Improvement in member experience metrics, Changes in patient sentiment over time	Natural Language Processing (NLP) tools for sentiment analysis, Data visualization tools for presenting insights, Machine Learning (ML) tools for theme extraction, Database management systems for storing and managing feedback data
Patient Experience	Medication Adherence Coach Agent	Uses pharmacy claims, care plans, and refill history to send targeted reminders and offer educational content for non-adherence.	Y		Y	Pharmacy Claims Data (e.g., NCPDP), Care Plans from EHRs or Care Management Platforms, Member Management Systems, Communication Platforms	Improve medication adherence by sending personalized, timely reminders to patients, Reduce medication non-adherence rates, which can lead to better clinical outcomes and reduced healthcare costs., Educate patients on the importance of adherence and how to manage their medications effectively, Proactively identify at-risk patients using pharmacy claims, refill patterns, and care plan data, Close adherence gaps for chronic condition management (e.g., hypertension, diabetes, cholesterol).	Adherence Rate (PDC - Proportion of Days Covered), Refill Gap Closure Rate, Engagement Rate, Drop-off Rate, Intervention Conversion Rate, Reduction in Hospital Readmissions (if tied to medication non-adherence).	AI-Powered Rules Engine, Natural Language Generation (NLG), Multi-Channel Communication Framework, Analytics & Reporting Dashboard, Patient Segmentation Algorithms
Provider Enablement	Clinical Documentation Scribe Agent	Converts real-time audio transcripts or visit recordings into structured clinical notes. Integrates with EHR and uses transcription + NLP.	N		Y	EHR system APIs, Audio recording devices, Secure data transfer protocols, Cloud storage services, Healthcare data exchange standards like HL7 or FHIR	Convert real-time audio transcripts or visit recordings into structured clinical notes accurately, Seamlessly integrate with EHR systems, Improve the efficiency and accuracy of clinical documentation, Reduce the administrative burden on healthcare professionals, Ensure patient data privacy and compliance with healthcare regulations	Accuracy of transcriptions, Integration success rate with EHR systems, Time saved in clinical documentation, Reduction in transcription errors, Compliance rate with healthcare regulations, User satisfaction rate	Natural Language Processing (NLP) tools, Speech recognition software, Secure data encryption tools, Cloud-based data storage, AI and machine learning platforms for continuous learning and improvement
Provider Enablement	Medical Coding Assistant Agent	Uses diagnosis descriptions, procedure notes, and coding libraries (ICD, CPT) to suggest accurate codes. Highlights supporting evidence.	Y		Y	Healthcare Information Systems, Electronic Health Record (EHR) Systems, Medical Billing Systems, ICD and CPT coding libraries	To accurately suggest medical codes based on diagnosis descriptions and procedure notes, To highlight supporting evidence for suggested codes, To reduce the time taken for medical coding, To minimize coding errors and improve accuracy	Accuracy rate of suggested codes, Percentage of codes with highlighted supporting evidence, Time saved in the coding process, Reduction in coding errors	Natural Language Processing (NLP) tools, Machine Learning algorithms, Data Analysis tools, Healthcare IT software
Provider Enablement	Clinical Order Advisor Agent	Uses EHR, labs, diagnosis codes, and care guidelines to suggest appropriate tests, referrals, or therapies to providers at point of care.	N		Y	EHR systems, Lab information systems, Healthcare coding systems, Healthcare provider databases	Improve the accuracy of clinical orders, Reduce the time taken by providers to decide on tests, referrals, or therapies, Increase adherence to care guidelines, Improve patient outcomes through timely and appropriate interventions	Percentage of clinical orders that align with care guidelines, Average time taken by providers to decide on clinical orders, Rate of adherence to suggested clinical orders, Patient outcome improvements	Machine learning algorithms for predictive analysis, Natural language processing for understanding clinical notes, Data visualization tools for presenting suggestions, Database management systems for storing and retrieving patient data
Provider Enablement	Provider Onboarding Q&A Agent	Provides step-by-step instructions for onboarding, using policy manuals, SOPs, and HR data. Responds to questions via natural language interface.	Y		Y	HR management systems for accessing HR data, Document management systems for accessing policy manuals and SOPs, Natural language processing APIs for interpreting user queries, Customer relationship management systems for tracking user interactions and feedback	Provide accurate and timely step-by-step instructions for onboarding, Efficiently use policy manuals, SOPs, and HR data to answer queries, Respond to questions via natural language interface with high accuracy, Reduce the time taken for onboarding new providers, Improve the user experience of new providers during the onboarding process	Accuracy of information provided, Response time to queries, Number of queries successfully resolved without human intervention, User satisfaction rate, Reduction in onboarding time	AI and machine learning tools for training and improving the agent, Natural language processing and understanding tools, Data analytics tools for measuring KPIs and performance, Customer service software for managing and tracking queries
